run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
387,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,908640,0,512,relu,,0.0,NVIDIA A40,1000
388,926,927,0,0,64,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,2139360,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
399,933,934,0,0,64,100000,30000,100000,,10,CsplineN,12,-16,128-128-128,1817280,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
403,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,128-128-128,1326510,0,512,relu,,0.0,NVIDIA A40,1000
404,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,2971950,0,512,relu,,0.0,NVIDIA A40,1000
404,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,2971950,0,512,relu,,0.0,NVIDIA A40,1000
404,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,2971950,0,512,relu,,0.0,NVIDIA A40,1000
404,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,2971950,0,512,relu,,0.0,NVIDIA A40,1000
404,0,1,0,0,100,100000,30000,100000,,5,CsplineN,12,-16,256-256-256,2971950,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
424,377,378,0,0,100,100000,30000,100000,,10,CsplineN,12,-16,256-256-256,5943900,0,512,relu,,0.0,NVIDIA A40,1000
