run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
180,520,521,0,0,64,100000,30000,100000,,10,MAFN,--,-5,256-256-256,1811200,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
181,541,542,0,0,64,100000,30000,100000,,5,MAFN,--,-5,128-128-128,289280,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
182,541,542,0,0,64,100000,30000,100000,,5,MAFN,--,-5,256-256-256,905600,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
183,541,542,0,0,64,100000,30000,100000,,10,MAFN,--,-5,128-128-128,578560,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
291,377,378,0,0,400,100000,30000,100000,,10,MAFN,--,-5,128-128-128,1875520,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
292,377,378,0,0,400,100000,30000,100000,,10,MAFN,--,-5,256-256-256,4398400,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
292,377,378,0,0,400,100000,30000,100000,,10,MAFN,--,-5,256-256-256,4398400,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
292,377,378,0,0,400,100000,30000,100000,,10,MAFN,--,-5,256-256-256,4398400,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
293,440,441,0,0,400,100000,30000,100000,,5,MAFN,--,-5,128-128-128,937760,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
294,440,441,0,0,400,100000,30000,100000,,5,MAFN,--,-5,256-256-256,2199200,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
294,440,441,0,0,400,100000,30000,100000,,5,MAFN,--,-5,256-256-256,2199200,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
295,440,441,0,0,400,100000,30000,100000,,10,MAFN,--,-5,128-128-128,1875520,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
296,440,441,0,0,400,100000,30000,100000,,10,MAFN,--,-5,256-256-256,4398400,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
296,440,441,0,0,400,100000,30000,100000,,10,MAFN,--,-5,256-256-256,4398400,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
296,440,441,0,0,400,100000,30000,100000,,10,MAFN,--,-5,256-256-256,4398400,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
297,520,521,0,0,400,100000,30000,100000,,5,MAFN,--,-5,128-128-128,937760,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
298,520,521,0,0,400,100000,30000,100000,,5,MAFN,--,-5,256-256-256,2199200,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
298,520,521,0,0,400,100000,30000,100000,,5,MAFN,--,-5,256-256-256,2199200,0,512,relu,,0.0,Tesla V100S-PCIE-32GB,1000
