run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,batch_size,activation,eps_regulariser,regulariser,dist_seed,test_seed
1,0,1,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,1
2,187,188,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,188
3,377,378,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,378
4,440,441,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,441
5,520,521,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,521
6,541,542,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,542
7,721,722,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,722
8,869,870,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,870
9,926,927,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,927
10,933,934,4,100000,,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,934
