run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
29,0,400,100000,corr,2,MsplineN,relu,8,-16,0,,-1,0.4746179548074816,0.47469858342626015,0.2086978151628464,0.20839101545290845,0.023491521204412995,0.023491521204412995,8.429599324082309,128-128-128,512,1000,313,2518.9211103478447
30,0,400,100000,corr,2,MsplineN,relu,8,-16,0,,-1,0.417041860106361,0.42104555201499905,0.19322290870758727,0.18915940643872595,0.05570714970721764,0.05570714970721764,17.767916780348582,256-256-256,512,1000,174,1374.1131048747338
31,0,400,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.45406555324454695,0.4525405717160875,0.20360160605818045,0.20287078716470133,0.04070125881305585,0.04070125881305585,9.513427775131081,128-128-128,512,1000,341,2915.142032346688
32,0,400,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.44443621764329877,0.44908595318918065,0.20299735352885073,0.20053410012459996,0.03565253335586553,0.03565253335586553,3.275948411715131,256-256-256,512,1000,177,1894.098027118016
33,0,1000,100000,corr,2,MsplineN,relu,8,-16,0,,-1,0.5138112877491525,0.5137463450396613,0.22040605004527714,0.22001722825764014,0.033758610366412506,0.033758610366412506,6.039962065971136,128-128-128,512,1000,1000,15493.992072294
34,0,1000,100000,corr,2,MsplineN,relu,8,-16,0,,-1,0.08936277727712501,0.049910070363477346,0.05434139052602792,0.06246675789137819,0.22089806340924156,0.22089806340924156,36.47424902297943,256-256-256,512,1000,768,13319.58051900519
35,0,1000,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.5344894566532195,0.537138509844199,0.22292703338490283,0.22180546405430007,0.034603670073572027,0.034603670073572027,5.579576266126627,128-128-128,512,1000,696,13266.23250473896
36,0,1000,100000,corr,2,MsplineN,relu,12,-16,0,,-1,0.5040031859961287,0.5065688864403877,0.21602887586329705,0.21543663464133492,0.037820755210444555,0.037820755210444555,6.250448645020456,256-256-256,512,1000,365,7521.283209770918
