run_n,seed_train,seed_test,seed_dist,seed_metrics,ndims,nsamples_train,nsamples_val,nsamples_test,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,trainable_parameters,non_trainable_parameters,batch_size,activation,regulariser,eps_regulariser,training_device,epochs_input
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
341,377,378,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
357,520,521,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,128-128-128,1321920,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
377,869,870,0,0,64,100000,30000,100000,,5,CsplineN,8,-16,128-128-128,660960,0,512,relu,,0.0,NVIDIA A40,1000
382,869,870,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
382,869,870,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
382,869,870,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
382,869,870,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
382,869,870,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
382,869,870,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
382,869,870,0,0,64,100000,30000,100000,,10,CsplineN,8,-16,256-256-256,3291840,0,512,relu,,0.0,NVIDIA A40,1000
